"","id_cliente","fecha","pgo_tot","tipo_cliente"
"1","1",2020-12-02,153.47,"Empleado"
"2","2",2020-12-15,590,"Empleado"
"3","3",2020-12-18,500,"Empleado"
"4","4",2020-12-22,305.65,"Empleado"
"5","5",2020-12-29,28.92,"Empleado"
"6","6",2020-12-06,849,"Cliente nivel 1"
"7","7",2020-12-03,1874,"Cliente nivel 1"
"8","8",2020-12-10,500,"Cliente nivel 1"
"9","9",2020-12-18,2736.19,"Cliente nivel 1"
"10","10",2020-12-22,500,"Cliente nivel 1"
"11","11",2020-12-05,944.31,"Cliente nivel 1"
"12","12",2020-12-13,200,"Cliente nivel 1"
"13","13",2020-12-25,700,"Cliente nivel 1"
"14","14",2020-12-14,1753.11,"Cliente nivel 1"
"15","15",2020-12-06,700,"Cliente nivel 1"
"16","16",2020-12-12,534,"Cliente nivel 1"
"17","17",2020-12-18,196,"Cliente nivel 1"
"18","18",2020-12-25,700,"Cliente nivel 1"
"19","19",2020-12-01,134.41,"Cliente nivel 1"
"20","20",2020-12-08,672.05,"Cliente nivel 1"
"21","21",2020-12-16,145,"Cliente nivel 1"
"22","22",2020-12-22,145,"Cliente nivel 1"
"23","23",2020-12-04,396,"Cliente nivel 1"
"24","24",2020-12-08,400,"Cliente nivel 1"
"25","25",2020-12-10,262.39,"Cliente nivel 1"
"26","26",2020-12-02,3750,"Cliente nivel 1"
"27","27",2020-12-10,3750,"Cliente nivel 1"
"28","28",2020-12-17,7500,"Cliente nivel 1"
"29","29",2020-12-25,3800,"Cliente nivel 1"
"30","30",2020-12-03,100,"Empleado"
"31","31",2020-12-08,20.67,"Empleado"
"32","32",2020-12-10,1504,"Empleado"
"33","33",2020-12-11,491.49,"Empleado"
"34","34",2020-12-22,212.53,"Empleado"
"35","35",2020-12-29,212.53,"Empleado"
"36","36",2020-12-05,100,"Cliente nivel 1"
"37","37",2020-12-10,200,"Cliente nivel 1"
"38","38",2020-12-04,373.58,"Cliente nivel 1"
"39","39",2020-12-06,190.42,"Cliente nivel 1"
"40","40",2020-12-12,100,"Cliente nivel 1"
"41","41",2020-12-21,188,"Cliente nivel 1"
"42","42",2020-12-11,1413.72,"Cliente nivel 1"
"43","43",2020-12-06,700,"Cliente nivel 1"
"44","44",2020-12-08,877,"Cliente nivel 1"
"45","45",2020-12-12,2564,"Cliente nivel 1"
"46","46",2020-12-20,205.93,"Cliente nivel 1"
"47","47",2020-12-27,205.93,"Cliente nivel 1"
"48","48",2020-12-13,500,"Cliente nivel 1"
"49","49",2020-12-08,6482,"Cliente nivel 1"
"50","50",2020-12-23,7500,"Cliente nivel 1"
"51","51",2020-12-09,900.36,"Empleado"
"52","52",2020-12-21,690,"Empleado"
"53","53",2020-12-01,2899,"Cliente nivel 1"
"54","54",2020-12-16,1500,"Cliente nivel 1"
"55","55",2020-12-01,400,"Cliente nivel 1"
"56","56",2020-12-10,800,"Cliente nivel 1"
"57","57",2020-12-08,1240.91,"Cliente nivel 1"
"58","58",2020-12-28,1140,"Cliente nivel 1"
"59","59",2020-12-02,250,"Empleado"
"60","60",2020-12-09,500,"Empleado"
"61","61",2020-12-16,400,"Empleado"
"62","62",2020-12-17,200,"Empleado"
"63","63",2020-12-26,300,"Empleado"
"64","64",2020-12-08,8.75,"Cliente nivel 1"
"65","65",2020-12-16,200,"Cliente nivel 1"
"66","66",2020-12-22,200,"Cliente nivel 1"
"67","67",2020-12-06,420,"Cliente nivel 1"
"68","68",2020-12-13,221,"Cliente nivel 1"
"69","69",2020-12-01,78.18,"Empleado"
"70","70",2020-12-08,78.18,"Empleado"
"71","71",2020-12-21,100,"Empleado"
"72","72",2020-12-22,143.84,"Empleado"
"73","73",2020-12-24,312,"Empleado"
"74","74",2020-12-03,1500,"Cliente nivel 1"
"75","75",2020-12-08,2000,"Cliente nivel 1"
"76","76",2020-12-17,2000,"Cliente nivel 1"
"77","77",2020-12-21,3500,"Cliente nivel 1"
"78","78",2020-12-28,2000,"Cliente nivel 1"
