"","id_cliente","ventas_mensuales","B_proceso"
"1","1",228072,"Orden"
"2","2",151687,"Orden"
"3","3",85107,"Orden"
"4","4",12979,"Orden"
"5","5",17806,"Orden"
"6","6",161278,"Orden"
"7","7",42970,"Orden"
"8","8",248662,"Orden"
"9","9",123744,"Orden"
"10","10",216319,"Orden"
"11","11",140039,"Orden"
"12","12",39700,"Orden"
"13","13",127750,"Orden"
"14","14",117739,"Orden"
"15","15",157041,"Orden"
"16","16",193152,"Orden"
"17","17",219000,"Orden"
"18","18",77243,"Orden"
"19","19",160770,"Orden"
"20","20",234103,"Orden"
"21","21",179397,"Orden"
"22","22",81954,"Orden"
"23","23",61203,"Orden"
"24","24",112870,"Orden"
"25","25",73368,"Orden"
"26","26",88619,"Orden"
"27","27",91356,"Orden"
"28","28",210512,"Orden"
"29","29",202885,"Orden"
"30","30",109127,"Orden"
"31","31",39329,"Orden"
"32","32",33128,"Orden"
"33","33",373,"Orden"
"34","34",150101,"Orden"
"35","35",82738,"Orden"
"36","36",27192,"Orden"
"37","37",243399,"Orden"
"38","38",177201,"Orden"
"39","39",42294,"Orden"
"40","40",148931,"Orden"
"41","41",61503,"Orden"
"42","42",212156,"Orden"
"43","43",33967,"Orden"
"44","44",28618,"Orden"
"45","45",175672,"Orden"
"46","46",139877,"Orden"
"47","47",2610,"Orden"
"48","48",159817,"Orden"
"49","49",98991,"Orden"
"50","50",131058,"Orden"
"51","51",11325,"Orden"
"52","52",9532,"Orden"
"53","53",78739,"Orden"
"54","54",77357,"Orden"
"55","55",141043,"Orden"
"56","56",239788,"Orden"
"57","57",246646,"Orden"
"58","58",209930,"Orden"
"59","59",163139,"Orden"
"60","60",194656,"Orden"
"61","61",146030,"Orden"
"62","62",31170,"Orden"
"63","63",180891,"Orden"
"64","64",124166,"Orden"
"65","65",107356,"Orden"
"66","66",53813,"Orden"
"67","67",22804,"Orden"
"68","68",47509,"Orden"
"69","69",168222,"Orden"
"70","70",40999,"Orden"
"71","71",156895,"Orden"
"72","72",192740,"Orden"
"73","73",18077,"Orden"
"74","74",172773,"Orden"
"75","75",160087,"Orden"
"76","76",117733,"Orden"
"77","77",246427,"Orden"
"78","78",216640,"Orden"
"79","79",12629,"Orden"
"80","80",13843,"Orden"
"81","81",7942,"Orden"
"82","82",45757,"Orden"
"83","83",86325,"Orden"
"84","84",219508,"Orden"
"85","85",90046,"Orden"
"86","86",81846,"Orden"
"87","87",168268,"Orden"
"88","88",26966,"Orden"
"89","89",225153,"Orden"
"90","90",222107,"Orden"
"91","91",194872,"Orden"
"92","92",73644,"Orden"
"93","93",115633,"Orden"
"94","94",27149,"Orden"
"95","95",114928,"Orden"
"96","96",7672,"Orden"
"97","97",63262,"Orden"
"98","98",155683,"Orden"
"99","99",221143,"Orden"
"100","100",2030,"Orden"
"101","101",108148,"Orden"
"102","102",142198,"Orden"
"103","103",12512,"Orden"
"104","104",128898,"Orden"
"105","105",132482,"Orden"
"106","106",72184,"Orden"
"107","107",140340,"Orden"
"108","108",214495,"Orden"
"109","109",37919,"Orden"
"110","110",148197,"Orden"
"111","111",231289,"Orden"
"112","112",126273,"Orden"
"113","113",11653,"Orden"
"114","114",161626,"Orden"
"115","115",219463,"Orden"
"116","116",144910,"Orden"
"117","117",195892,"Orden"
"118","118",221168,"Orden"
"119","119",229111,"Orden"
"120","120",111520,"Orden"
"121","121",174847,"Orden"
"122","122",88637,"Orden"
"123","123",64838,"Orden"
"124","124",223038,"Orden"
"125","125",220114,"Orden"
"126","126",227798,"Orden"
"127","127",156046,"Orden"
"128","128",39803,"Orden"
"129","129",155776,"Orden"
"130","130",120863,"Orden"
"131","131",247101,"Orden"
"132","132",123426,"Orden"
"133","133",5897,"Orden"
"134","134",80815,"Orden"
"135","135",145980,"Orden"
"136","136",138050,"Orden"
"137","137",112514,"Orden"
"138","138",157287,"Orden"
"139","139",77877,"Orden"
"140","140",12513,"Orden"
"141","141",214192,"Orden"
"142","142",183173,"Orden"
"143","143",183969,"Orden"
"144","144",180616,"Orden"
"145","145",117955,"Orden"
"146","146",236814,"Orden"
"147","147",16240,"Orden"
"148","148",189649,"Orden"
"149","149",215580,"Orden"
