,id_cliente,deuda_act,deuda_act_interes,venta_trimestral,venta_enero2020,venta_febrero2020,venta_mzo2020,pagos,pagos_enero2020,pagos_febrero2020,pagos_mzo2020,id_sucursal,B_tipo_soc,edad,tipo_cliente,nombre_suc
1,1,0,0,1050,0,0,1050,1061.44,0,0,1061.44,1,Socio,36,Cliente nivel 1,CDMX
2,2,0,0,2567,993,1055,519,2567,993,1055,519,1,Empleado,38,Empleado,CDMX
3,3,0,0,10399.8,1595,6603.81,2200.99,10756.35,1595,6629.71,2531.64,1,Socio,54,Cliente nivel 1,CDMX
4,4,0,0,928,928,0,0,928,928,0,0,1,Socio,57,Cliente nivel 1,CDMX
5,5,0,0,11626.24,2944,5448,3234.24,11839.13,3154.06,5448,3237.07,7,Socio,41,Cliente nivel 1,AGS
6,6,0,0,6627.8,1711,1308,3608.8,6843.79,1786.05,1308.53,3749.21,16,Socio,46,Cliente nivel 1,BCS
7,7,0,0,11765.28,5391,4249.52,2124.76,11765.28,5391,4249.52,2124.76,1,Socio,46,Cliente nivel 1,CDMX
8,8,0,0,7496.96,1924.96,3511,2061,7698.94,1926.05,3511.86,2261.03,8,Socio,50,Cliente nivel 1,JAL
9,9,0,0,2078,1028,1050,0,2304.73,1146.53,1158.2,0,1,Socio,39,Cliente nivel 1,CDMX
10,10,0,0,2538,1292,0,1246,2605.71,1358.72,0,1246.99,16,Socio,42,Cliente nivel 1,BCS
11,11,0,0,1238,0,689,549,1337.93,0,749.02,588.91,3,Socio,33,Cliente nivel 1,LEON
12,12,0,0,1500,0,750,750,1501.81,0,750,751.81,4,Socio,48,Cliente nivel 1,QRO
13,13,0,0,8514.44,2913.72,2913.72,2687,8520.21,2913.72,2913.72,2692.77,4,Socio,35,Cliente nivel 1,QRO
14,14,0,0,6082,1477,2205,2400,6306.82,1477,2205,2624.82,4,Socio,39,Cliente nivel 1,QRO
15,15,0,0,7500,0,7500,0,7500,0,7500,0,1,Socio,59,Cliente nivel 1,CDMX
16,16,0,0,1635,278,1357,0,1635.56,278.56,1357,0,5,Socio,35,Cliente nivel 1,ECA
17,17,0,0,607,607,0,0,607.53,607.53,0,0,8,Socio,57,Cliente nivel 1,JAL
18,18,0,0,2902.08,1451.04,725.52,725.52,2909.7,1456.12,725.52,728.06,1,Socio,49,Cliente nivel 1,CDMX
19,19,0,0,4844.6,1737.8,1968,1138.8,4847.52,1737.8,1969.72,1140,16,Socio,67,Cliente nivel 1,BCS
20,20,0,0,1771.2,1771.2,0,0,1901.46,1901.46,0,0,16,Socio,49,Cliente nivel 1,BCS
21,21,0,0,13169.76,8770.88,0,4398.88,13169.76,8770.88,0,4398.88,1,Socio,55,Cliente nivel 1,CDMX
22,22,0,0,6560.09,1910.09,3700,950,6729.01,1912.13,3810.53,1006.35,16,Socio,32,Cliente nivel 1,BCS
23,23,0,0,5627.44,5627.44,0,0,5874.64,5874.64,0,0,8,Socio,45,Cliente nivel 1,JAL
24,24,0,0,1673,0,1097,576,1673,0,1097,576,1,Empleado,39,Empleado,CDMX
25,25,0,0,4079,1362,1361,1356,4304.69,1441,1365.48,1498.21,1,Socio,33,Cliente nivel 1,CDMX
26,26,0,0,239,0,239,0,269.47,0,269.47,0,3,Empleado,41,Empleado,LEON
27,27,0,0,22250,7500,7250,7500,22250,7500,7250,7500,3,Socio,39,Cliente nivel 1,LEON
28,28,0,0,4150,0,1650,2500,4429.07,0,1749.7,2679.37,3,Socio,34,Cliente nivel 1,LEON
29,29,0,0,7829,3629,4200,0,8051.58,3630.85,4420.73,0,4,Socio,54,Cliente nivel 1,QRO
30,30,0,0,15346.48,3362.24,8719.24,3265,15346.48,3362.24,8719.24,3265,4,Socio,44,Cliente nivel 1,QRO
31,31,0,0,750,750,0,0,811.89,811.89,0,0,4,Socio,52,Cliente nivel 1,QRO
32,32,0,0,6061.5,0,2997,3064.5,6068.6,0,3004.1,3064.5,4,Socio,39,Cliente nivel 1,QRO
33,33,0,0,1743,0,1116,627,1933.47,0,1222.17,711.3,4,Socio,41,Cliente nivel 1,QRO
34,34,0,0,2413,0,2413,0,2642.2,0,2642.2,0,7,Socio,40,Cliente nivel 1,AGS
35,35,0,0,2935,1000,1000,935,3052.75,1059.75,1058,935,4,Socio,63,Cliente nivel 1,QRO
36,36,0,0,8350,3939,2161,2250,8576.07,3953.47,2184.54,2438.06,4,Socio,38,Cliente nivel 1,QRO
37,37,0,0,4680,1305,2258,1117,5465.68,1464.28,2677.04,1324.36,4,Empleado,39,Empleado,QRO
38,38,0,0,7579,2769,3839,971,7648.55,2769,3840.14,1039.41,8,Socio,54,Cliente nivel 1,JAL
39,39,0,0,5571.12,2686,1396,1489.12,5816.7,2688.76,1508.34,1619.6,8,Socio,40,Cliente nivel 1,JAL
40,40,0,0,1210,0,701,509,1349.93,0,772.65,577.28,4,Socio,55,Cliente nivel 1,QRO
41,41,0,0,5746,847,2664,2235,5942.18,847.74,2667.32,2427.12,5,Socio,42,Cliente nivel 1,ECA
42,42,0,0,776,177,599,0,887.04,177,710.04,0,5,Empleado,44,Empleado,ECA
43,43,0,0,1836,0,1000,836,1836,0,1000,836,5,Socio,46,Cliente nivel 1,ECA
44,44,0,0,1702.2,1702.2,0,0,1796.47,1796.47,0,0,5,Socio,51,Cliente nivel 1,ECA
45,45,0,0,7105,2263,2370,2472,7288.5,2263,2371.97,2653.53,5,Socio,46,Cliente nivel 1,ECA
46,46,0,0,2654,1850,804,0,2654,1850,804,0,10,Socio,31,Cliente nivel 1,TOL
47,47,0,0,8317,3237,5080,0,9021.27,3496.49,5524.78,0,6,Socio,53,Cliente nivel 1,PUE
48,48,0,0,3226,0,1476,1750,3228.82,0,1477.29,1751.53,1,Socio,36,Cliente nivel 1,CDMX
49,49,0,0,4506.4,2253.2,0,2253.2,4506.4,2253.2,0,2253.2,1,Socio,56,Cliente nivel 1,CDMX
50,50,0,0,1750,0,1750,0,1750,0,1750,0,1,Socio,51,Cliente nivel 1,CDMX
51,51,0,0,4459.6,1244,1919,1296.6,4541.69,1245.09,1920.68,1375.92,16,Socio,44,Cliente nivel 1,BCS
52,52,0,0,1900,0,950,950,1900,0,950,950,2,Socio,48,Cliente nivel 1,VER
53,53,0,0,3926.27,1777.99,2148.28,0,4390.8,1907.96,2482.84,0,4,Socio,42,Cliente nivel 1,QRO
54,54,0,0,2093,0,0,2093,2263.91,0,0,2263.91,4,Socio,34,Cliente nivel 1,QRO
55,55,0,0,5082,0,1373,3709,5211.2,0,1373,3838.2,4,Socio,53,Cliente nivel 1,QRO
56,56,0,0,13266.04,6669.04,3301,3296,13933.77,6680.71,3312.55,3940.51,4,Socio,52,Cliente nivel 1,QRO
57,57,0,0,3000,1000,1000,1000,3183.8,1000,1000,1183.8,13,Socio,41,Cliente nivel 1,OAX
58,58,0,0,5668,1050,2048,2570,5670.64,1050,2049.79,2570.85,4,Socio,49,Cliente nivel 1,QRO
59,59,0,0,857.91,108.91,0,749,910.3,108.91,0,801.39,8,Socio,46,Cliente nivel 1,JAL
60,60,0,0,4589.12,1401.56,1401.56,1786,4592.42,1401.56,1401.56,1789.3,5,Socio,44,Cliente nivel 1,ECA
61,61,0,0,1292.98,210,1082.98,0,1481.85,237.32,1244.53,0,10,Socio,45,Cliente nivel 1,TOL
