"","B_mes","fec_ini_cdto","id_sucursal","B_adeudo","ventas_tot","no_clientes","adeudo_actual","pagos_tot","no_cdtos"
"1",2020-01-15,2020-01-01,1,"Con adeudo",27427,5,9117.21,18442.62,21
"2",2020-01-15,2020-01-01,1,"Sin adeudo",238462,30,0,244416.98,91
"3",2020-01-15,2020-01-01,2,"Con adeudo",7803,1,4480.53,3349.57,3
"4",2020-01-15,2020-01-01,2,"Sin adeudo",224499,32,0,230930.56,94
"5",2020-01-15,2020-01-01,3,"Con adeudo",19547,2,10477.51,9160.11,5
"6",2020-01-15,2020-01-01,3,"Sin adeudo",250385,35,0,255786.56,101
"7",2020-01-15,2020-01-01,4,"Con adeudo",11446,2,6884.22,4603.61,6
"8",2020-01-15,2020-01-01,4,"Sin adeudo",320469,38,0,329532.62,124
"9",2020-01-15,2020-01-01,5,"Con adeudo",14536,3,6236.55,8326.38,10
"10",2020-01-15,2020-01-01,5,"Sin adeudo",179332,26,0,184037.01,82
"11",2020-01-15,2020-01-01,6,"Con adeudo",45620,6,24864.16,20877.38,14
"12",2020-01-15,2020-01-01,6,"Sin adeudo",161847,22,0,165663.05,69
"13",2020-01-15,2020-01-01,7,"Con adeudo",34527,3,20185.88,14428.55,13
"14",2020-01-15,2020-01-01,7,"Sin adeudo",236745,33,0,242577.87,98
"15",2020-01-15,2020-01-01,8,"Sin adeudo",384410,45,0,393921.85,147
"16",2020-01-15,2020-01-01,9,"Con adeudo",28782,3,10935.22,17998.16,8
"17",2020-01-15,2020-01-01,9,"Sin adeudo",160586,19,0,164904.63,59
"18",2020-01-15,2020-01-01,10,"Con adeudo",34278,4,11441.43,23015.11,11
"19",2020-01-15,2020-01-01,10,"Sin adeudo",252516,31,0,259818.78,84
"20",2020-01-15,2020-01-01,11,"Con adeudo",21963,2,16745.86,5254.28,3
"21",2020-01-15,2020-01-01,11,"Sin adeudo",218153,28,0,223749.03,74
"22",2020-01-15,2020-01-01,12,"Con adeudo",19279,3,5763.73,13636.64,6
"23",2020-01-15,2020-01-01,12,"Sin adeudo",216174,29,0,222301.01,90
"24",2020-01-15,2020-01-01,13,"Con adeudo",14399,2,9462.63,4959.39,6
"25",2020-01-15,2020-01-01,13,"Sin adeudo",259062,37,0,266570.19,112
"26",2020-01-15,2020-01-01,14,"Con adeudo",10079,3,5251.27,4862.98,8
"27",2020-01-15,2020-01-01,14,"Sin adeudo",311161,36,0,318277.7,99
"28",2020-01-15,2020-01-01,15,"Con adeudo",8967,3,7791.6,1193.13,9
"29",2020-01-15,2020-01-01,15,"Sin adeudo",256549,32,0,263001.23,92
"30",2020-01-15,2020-01-01,16,"Con adeudo",39760,5,29589.74,10253.49,15
"31",2020-01-15,2020-01-01,16,"Sin adeudo",179217,25,0,184368.11,81
"32",2020-01-15,2020-01-01,17,"Sin adeudo",289575,37,0,297322.55,111
"33",2020-01-15,2020-01-02,1,"Con adeudo",52307,7,35386.2,17051.84,17
"34",2020-01-15,2020-01-02,1,"Sin adeudo",204915,28,0,209246.94,83
"35",2020-01-15,2020-01-02,2,"Con adeudo",8744,1,7170.26,1603.69,2
"36",2020-01-15,2020-01-02,2,"Sin adeudo",197276,23,0,203105.89,62
"37",2020-01-15,2020-01-02,3,"Sin adeudo",325003,41,0,332176.39,132
"38",2020-01-15,2020-01-02,4,"Con adeudo",11042,1,7242.45,3816.43,3
"39",2020-01-15,2020-01-02,4,"Sin adeudo",193844,27,0,197522.53,80
"40",2020-01-15,2020-01-02,5,"Con adeudo",7958,1,6071.07,1893.39,1
"41",2020-01-15,2020-01-02,5,"Sin adeudo",120204,20,0,123187.27,65
"42",2020-01-15,2020-01-02,6,"Con adeudo",21350,3,17043.46,4345.72,5
"43",2020-01-15,2020-01-02,6,"Sin adeudo",155783,24,0,160565.59,73
"44",2020-01-15,2020-01-02,7,"Sin adeudo",238789,31,0,243817.01,95
"45",2020-01-15,2020-01-02,8,"Con adeudo",12190,1,9355.97,2860.13,5
"46",2020-01-15,2020-01-02,8,"Sin adeudo",189079,22,0,194412.72,63
"47",2020-01-15,2020-01-02,9,"Con adeudo",34976,5,22998.21,12082.32,13
"48",2020-01-15,2020-01-02,9,"Sin adeudo",207843,28,0,212133.86,75
"49",2020-01-15,2020-01-02,10,"Con adeudo",23571,2,16008.48,7691.09,7
"50",2020-01-15,2020-01-02,10,"Sin adeudo",252462,33,0,259420.7,107
"51",2020-01-15,2020-01-02,11,"Con adeudo",34867,3,10950.19,24294.54,9
"52",2020-01-15,2020-01-02,11,"Sin adeudo",183559,28,0,187584.81,100
"53",2020-01-15,2020-01-02,12,"Con adeudo",755,1,719.88,35.23,5
"54",2020-01-15,2020-01-02,12,"Sin adeudo",348314,39,0,357162.06,103
"55",2020-01-15,2020-01-02,13,"Con adeudo",7978,2,4475.23,3547.82,4
"56",2020-01-15,2020-01-02,13,"Sin adeudo",223941,31,0,229453.02,91
"57",2020-01-15,2020-01-02,14,"Con adeudo",69655,6,42765.79,27225.69,16
"58",2020-01-15,2020-01-02,14,"Sin adeudo",238875,33,0,245326.11,104
"59",2020-01-15,2020-01-02,15,"Con adeudo",49724,6,21902.48,28021.06,22
"60",2020-01-15,2020-01-02,15,"Sin adeudo",159531,21,0,163503.74,63
"61",2020-01-15,2020-01-02,16,"Con adeudo",35633,5,19296.43,16408.82,17
"62",2020-01-15,2020-01-02,16,"Sin adeudo",277486,36,0,284430.78,115
"63",2020-01-15,2020-01-02,17,"Con adeudo",37424,5,23407.2,14184.77,10
"64",2020-01-15,2020-01-02,17,"Sin adeudo",270951,38,0,277754.02,108
"65",2020-01-15,2020-01-03,1,"Con adeudo",36846,4,12445.15,24626.63,13
"66",2020-01-15,2020-01-03,1,"Sin adeudo",260349,33,0,266831.99,93
"67",2020-01-15,2020-01-03,2,"Con adeudo",14600,3,8368.67,6297.68,12
"68",2020-01-15,2020-01-03,2,"Sin adeudo",216208,33,0,220448.46,102
"69",2020-01-15,2020-01-03,3,"Con adeudo",32741,4,21246.21,11560.7,13
"70",2020-01-15,2020-01-03,3,"Sin adeudo",341042,43,0,349272.46,131
"71",2020-01-15,2020-01-03,4,"Con adeudo",35626,4,19205.87,16540.92,10
"72",2020-01-15,2020-01-03,4,"Sin adeudo",281614,38,0,288420.13,109
"73",2020-01-15,2020-01-03,5,"Con adeudo",25913,3,8541.86,17515.19,7
"74",2020-01-15,2020-01-03,5,"Sin adeudo",278777,33,0,284642.46,106
"75",2020-01-15,2020-01-03,6,"Con adeudo",7378,2,5135.91,2263.84,5
"76",2020-01-15,2020-01-03,6,"Sin adeudo",293021,40,0,299360.88,116
"77",2020-01-15,2020-01-03,7,"Con adeudo",38516,4,19228.16,19403.92,10
"78",2020-01-15,2020-01-03,7,"Sin adeudo",193221,27,0,197120.68,86
"79",2020-01-15,2020-01-03,8,"Con adeudo",21819,4,11264.67,10626.72,10
"80",2020-01-15,2020-01-03,8,"Sin adeudo",252621,34,0,258483.51,103
"81",2020-01-15,2020-01-03,9,"Con adeudo",5770,1,3797.28,1979.31,4
"82",2020-01-15,2020-01-03,9,"Sin adeudo",251345,33,0,256845.74,110
"83",2020-01-15,2020-01-03,10,"Con adeudo",21840,3,16473.56,5407.76,10
"84",2020-01-15,2020-01-03,10,"Sin adeudo",182995,25,0,187173.37,76
"85",2020-01-15,2020-01-03,11,"Con adeudo",21098,2,10545.9,10579.53,9
"86",2020-01-15,2020-01-03,11,"Sin adeudo",157593,19,0,160440.67,54
"87",2020-01-15,2020-01-03,12,"Con adeudo",3436,1,499.75,2956.75,1
"88",2020-01-15,2020-01-03,12,"Sin adeudo",250894,32,0,256479.59,98
"89",2020-01-15,2020-01-03,13,"Con adeudo",15471,3,5238.14,10337.14,6
"90",2020-01-15,2020-01-03,13,"Sin adeudo",265096,39,0,270982.92,116
"91",2020-01-15,2020-01-03,14,"Con adeudo",20822,2,3910.43,17111.04,2
"92",2020-01-15,2020-01-03,14,"Sin adeudo",302959,38,0,310503.4,114
"93",2020-01-15,2020-01-03,15,"Con adeudo",3552,1,2620.88,933.11,5
"94",2020-01-15,2020-01-03,15,"Sin adeudo",330169,41,0,338443.11,135
"95",2020-01-15,2020-01-03,16,"Con adeudo",31265,3,15074.72,16356.04,7
"96",2020-01-15,2020-01-03,16,"Sin adeudo",300824,46,0,308695.1,161
"97",2020-01-15,2020-01-03,17,"Con adeudo",29379,4,12685.98,16861.76,11
"98",2020-01-15,2020-01-03,17,"Sin adeudo",283125,38,0,288551.73,99
"99",2020-01-15,2020-01-04,1,"Con adeudo",58644,7,34629.86,24186.25,21
"100",2020-01-15,2020-01-04,1,"Sin adeudo",240447,29,0,246618.92,79
"101",2020-01-15,2020-01-04,2,"Con adeudo",14673,2,6866.52,7892.83,6
"102",2020-01-15,2020-01-04,2,"Sin adeudo",261268,31,0,267316.22,106
"103",2020-01-15,2020-01-04,3,"Con adeudo",35392,7,22065.46,13431.18,18
"104",2020-01-15,2020-01-04,3,"Sin adeudo",230421,30,0,236870.18,93
"105",2020-01-15,2020-01-04,4,"Con adeudo",6153,1,3242.12,2968.21,4
"106",2020-01-15,2020-01-04,4,"Sin adeudo",285834,39,0,294117.84,137
"107",2020-01-15,2020-01-04,5,"Con adeudo",6406,1,859.18,5548.82,3
"108",2020-01-15,2020-01-04,5,"Sin adeudo",191650,31,0,196121.4,84
"109",2020-01-15,2020-01-04,6,"Con adeudo",23308,2,16034.57,7316.15,10
"110",2020-01-15,2020-01-04,6,"Sin adeudo",252082,32,0,257677.66,83
"111",2020-01-15,2020-01-04,7,"Con adeudo",25402,3,9955.27,15588.03,8
"112",2020-01-15,2020-01-04,7,"Sin adeudo",228617,28,0,234527.13,81
"113",2020-01-15,2020-01-04,8,"Con adeudo",26861,3,20334.68,6628.24,6
"114",2020-01-15,2020-01-04,8,"Sin adeudo",235442,32,0,241869.58,89
"115",2020-01-15,2020-01-04,9,"Con adeudo",14233,1,4536.66,9866.82,2
"116",2020-01-15,2020-01-04,9,"Sin adeudo",250792,31,0,256015.98,93
"117",2020-01-15,2020-01-04,10,"Con adeudo",35566,4,24758.04,10951.9,9
"118",2020-01-15,2020-01-04,10,"Sin adeudo",200314,31,0,205658.02,86
"119",2020-01-15,2020-01-04,11,"Con adeudo",10037,1,1424.38,8672.32,1
"120",2020-01-15,2020-01-04,11,"Sin adeudo",175841,24,0,180367.04,77
"121",2020-01-15,2020-01-04,12,"Con adeudo",17769,2,14929.82,2877.5,4
"122",2020-01-15,2020-01-04,12,"Sin adeudo",304947,34,0,311610.78,101
"123",2020-01-15,2020-01-04,13,"Con adeudo",45684,4,15798.59,30177.36,11
"124",2020-01-15,2020-01-04,13,"Sin adeudo",259076,35,0,265584.88,91
"125",2020-01-15,2020-01-04,14,"Con adeudo",9273,1,4393.52,4891.05,1
"126",2020-01-15,2020-01-04,14,"Sin adeudo",191222,27,0,196557.06,88
"127",2020-01-15,2020-01-04,15,"Con adeudo",20241,2,8148.52,12175.42,9
"128",2020-01-15,2020-01-04,15,"Sin adeudo",377985,48,0,387337.34,147
"129",2020-01-15,2020-01-04,16,"Con adeudo",15742,4,2003.57,13986.04,16
"130",2020-01-15,2020-01-04,16,"Sin adeudo",316488,44,0,324431,124
"131",2020-01-15,2020-01-04,17,"Con adeudo",36173,4,13316.64,23060.56,15
"132",2020-01-15,2020-01-04,17,"Sin adeudo",275717,33,0,282858.18,85
"133",2020-01-15,2020-01-05,1,"Con adeudo",32309,4,8443.08,24075.75,12
"134",2020-01-15,2020-01-05,1,"Sin adeudo",264053,38,0,270126.49,128
"135",2020-01-15,2020-01-05,2,"Con adeudo",11152,1,1101.16,10242.27,3
"136",2020-01-15,2020-01-05,2,"Sin adeudo",215179,30,0,220276.58,94
"137",2020-01-15,2020-01-05,3,"Con adeudo",25011,4,13328.93,11880.69,14
"138",2020-01-15,2020-01-05,3,"Sin adeudo",226837,32,0,233073.08,115
"139",2020-01-15,2020-01-05,4,"Con adeudo",40225,5,18853.3,21724.21,15
"140",2020-01-15,2020-01-05,4,"Sin adeudo",201446,30,0,206300.12,108
"141",2020-01-15,2020-01-05,5,"Con adeudo",5622,1,4560.94,1076.74,4
"142",2020-01-15,2020-01-05,5,"Sin adeudo",251740,29,0,259282.06,83
"143",2020-01-15,2020-01-05,6,"Con adeudo",20269,2,9532.31,10815.42,7
"144",2020-01-15,2020-01-05,6,"Sin adeudo",296774,38,0,304513.29,103
"145",2020-01-15,2020-01-05,7,"Con adeudo",40397,6,30364.39,10129.87,15
"146",2020-01-15,2020-01-05,7,"Sin adeudo",292041,33,0,298556.04,94
"147",2020-01-15,2020-01-05,8,"Con adeudo",4485,1,631.87,3920.2,4
"148",2020-01-15,2020-01-05,8,"Sin adeudo",221291,32,0,225704.28,99
"149",2020-01-15,2020-01-05,9,"Con adeudo",26378,3,20260.13,6163.17,6
"150",2020-01-15,2020-01-05,9,"Sin adeudo",246360,29,0,252549.3,92
"151",2020-01-15,2020-01-05,10,"Con adeudo",1626,1,886.5,747.68,2
"152",2020-01-15,2020-01-05,10,"Sin adeudo",308605,38,0,316757.69,118
"153",2020-01-15,2020-01-05,11,"Con adeudo",30303,3,8632.12,21751.15,8
"154",2020-01-15,2020-01-05,11,"Sin adeudo",178557,29,0,183990.94,84
"155",2020-01-15,2020-01-05,12,"Con adeudo",39609,3,27031.12,12756.1,5
"156",2020-01-15,2020-01-05,12,"Sin adeudo",223279,36,0,229241.62,114
"157",2020-01-15,2020-01-05,13,"Con adeudo",19608,3,6789.72,12919.42,12
"158",2020-01-15,2020-01-05,13,"Sin adeudo",226033,31,0,230742.11,100
"159",2020-01-15,2020-01-05,14,"Con adeudo",64263,6,44469.74,19884.99,12
"160",2020-01-15,2020-01-05,14,"Sin adeudo",288235,36,0,295664.24,104
"161",2020-01-15,2020-01-05,15,"Con adeudo",17166,3,6107.91,11105.34,7
"162",2020-01-15,2020-01-05,15,"Sin adeudo",273481,36,0,280379.49,110
"163",2020-01-15,2020-01-05,16,"Con adeudo",21669,2,11979.81,9804.11,9
"164",2020-01-15,2020-01-05,16,"Sin adeudo",215721,36,0,221046.49,116
"165",2020-01-15,2020-01-05,17,"Con adeudo",12606,3,5836.47,6805.91,8
"166",2020-01-15,2020-01-05,17,"Sin adeudo",163225,24,0,167331.67,68
"167",2020-01-15,2020-01-06,1,"Con adeudo",13049,3,4064.38,9136.61,10
"168",2020-01-15,2020-01-06,1,"Sin adeudo",268325,34,0,274872.62,97
"169",2020-01-15,2020-01-06,2,"Con adeudo",47526,4,25585.7,22192.48,9
"170",2020-01-15,2020-01-06,2,"Sin adeudo",234397,29,0,239411.87,86
"171",2020-01-15,2020-01-06,3,"Con adeudo",6086,3,3443.8,2672.09,11
"172",2020-01-15,2020-01-06,3,"Sin adeudo",214290,27,0,220175.27,82
"173",2020-01-15,2020-01-06,4,"Con adeudo",24648,3,16881.62,7873.95,12
"174",2020-01-15,2020-01-06,4,"Sin adeudo",254379,30,0,260333.61,104
"175",2020-01-15,2020-01-06,5,"Sin adeudo",199783,28,0,204371.38,93
"176",2020-01-15,2020-01-06,6,"Con adeudo",35815,4,17669.24,18253.86,16
"177",2020-01-15,2020-01-06,6,"Sin adeudo",238736,33,0,242985.88,93
"178",2020-01-15,2020-01-06,7,"Con adeudo",18514,3,9681.92,8989.39,8
"179",2020-01-15,2020-01-06,7,"Sin adeudo",212372,31,0,217225.87,88
"180",2020-01-15,2020-01-06,8,"Con adeudo",15124,2,5628.77,9673.63,7
"181",2020-01-15,2020-01-06,8,"Sin adeudo",199209,26,0,203682.57,70
"182",2020-01-15,2020-01-06,9,"Con adeudo",10761,2,2389.19,8427.36,8
"183",2020-01-15,2020-01-06,9,"Sin adeudo",193161,21,0,197995.97,75
"184",2020-01-15,2020-01-06,10,"Con adeudo",39302,4,25946.36,13449.28,10
"185",2020-01-15,2020-01-06,10,"Sin adeudo",132224,19,0,135754.02,63
"186",2020-01-15,2020-01-06,11,"Con adeudo",3243,1,1239.36,2004.38,4
"187",2020-01-15,2020-01-06,11,"Sin adeudo",308877,45,0,315665.37,121
"188",2020-01-15,2020-01-06,12,"Con adeudo",66073,6,31401.75,35032.53,21
"189",2020-01-15,2020-01-06,12,"Sin adeudo",251142,30,0,257481.05,93
"190",2020-01-15,2020-01-06,13,"Con adeudo",18405,2,7644.67,10881.54,2
"191",2020-01-15,2020-01-06,13,"Sin adeudo",183514,24,0,188246.86,61
"192",2020-01-15,2020-01-06,14,"Con adeudo",28596,4,21648.72,6988.75,15
"193",2020-01-15,2020-01-06,14,"Sin adeudo",215310,30,0,220360.22,93
"194",2020-01-15,2020-01-06,15,"Con adeudo",9233,1,3447.68,5792.34,4
"195",2020-01-15,2020-01-06,15,"Sin adeudo",118671,19,0,122021.58,48
"196",2020-01-15,2020-01-06,16,"Con adeudo",24920,6,16296.04,8721.05,22
"197",2020-01-15,2020-01-06,16,"Sin adeudo",198178,23,0,202832.9,63
"198",2020-01-15,2020-01-06,17,"Con adeudo",2917,2,1833.36,1096.32,10
"199",2020-01-15,2020-01-06,17,"Sin adeudo",197806,27,0,202304.28,80
"200",2020-01-15,2020-01-07,1,"Con adeudo",27017,3,11512.14,15715.86,14
"201",2020-01-15,2020-01-07,1,"Sin adeudo",231236,29,0,237140.61,98
"202",2020-01-15,2020-01-07,2,"Con adeudo",32749,4,13680.56,19242.67,13
"203",2020-01-15,2020-01-07,2,"Sin adeudo",234353,31,0,241589.48,91
"204",2020-01-15,2020-01-07,3,"Con adeudo",25135,3,19982.56,5211.52,8
"205",2020-01-15,2020-01-07,3,"Sin adeudo",174135,27,0,178103.63,82
"206",2020-01-15,2020-01-07,4,"Con adeudo",18366,2,3190.04,15447.04,4
"207",2020-01-15,2020-01-07,4,"Sin adeudo",264945,28,0,271626.11,82
"208",2020-01-15,2020-01-07,5,"Con adeudo",2493,1,737.37,1773.95,5
"209",2020-01-15,2020-01-07,5,"Sin adeudo",247060,35,0,253846.62,106
"210",2020-01-15,2020-01-07,6,"Con adeudo",25903,2,12196.45,13864.53,6
"211",2020-01-15,2020-01-07,6,"Sin adeudo",255072,35,0,262737.93,108
"212",2020-01-15,2020-01-07,7,"Con adeudo",6309,2,3174.53,3159.59,5
"213",2020-01-15,2020-01-07,7,"Sin adeudo",233031,31,0,240174.53,89
"214",2020-01-15,2020-01-07,8,"Con adeudo",13791,1,4625.19,9328.3,3
"215",2020-01-15,2020-01-07,8,"Sin adeudo",207054,34,0,213292.8,103
"216",2020-01-15,2020-01-07,9,"Con adeudo",29993,3,17835.07,12302.02,9
"217",2020-01-15,2020-01-07,9,"Sin adeudo",336334,36,0,343278.53,107
